Geracao,ID_particula,Dimensao 1,Dimensao 2,Fitness
0,0,-0.468893,-0.0470563,3.01983
0,1,-0.855328,0.457857,4.4432
0,2,0.697215,-0.313058,4.06661
0,3,-0.336586,-1.89768,6.33788
0,4,-1.2386,0.737578,5.41013
0,5,0.586521,1.64627,6.61652
0,6,-1.6132,0.916306,6.27869
0,7,-1.55879,-1.66619,7.74619
0,8,0.359498,1.29788,5.55894
0,9,-0.126724,-0.54833,3.36801
0,10,-1.37592,0.00281005,5.09949
0,11,1.58519,0.924226,6.27511
0,12,0.340928,0.127325,2.64048
0,13,0.166061,0.580618,3.52483
0,14,1.72831,-1.58284,7.75492
0,15,-0.635179,-0.578996,4.54424
0,16,1.16069,-0.450088,5.13588
0,17,-1.36473,-0.162154,5.31664
0,18,1.79601,0.236931,6.03698
0,19,-0.79758,1.88364,6.06113
0,20,-0.431454,1.4947,6.28295
0,21,-0.263801,-0.810567,3.83656
0,22,0.780543,0.0265086,3.00846
0,23,-1.1329,-0.00764934,3.37432
0,24,-1.26474,-1.691,7.085
0,25,0.649747,-1.54198,6.47306
0,26,-0.241567,0.0191956,1.70525
0,27,1.84937,-0.212259,5.84097
0,28,-1.64556,1.16428,6.72659
0,29,1.46576,-1.23581,6.8265
0,30,-1.84522,-0.72556,6.381
0,31,0.983654,0.873495,3.77955
0,32,1.48279,1.45565,7.43448
0,33,-1.25053,-0.988328,5.11084
0,34,0.96843,-1.80717,5.80597
0,35,-0.862567,-0.592768,4.55829
0,36,0.655261,0.75414,4.58807
0,37,-0.378606,0.541965,4.07353
0,38,-1.41211,0.440625,6.08347
0,39,-0.600634,-1.92834,6.63954
0,40,0.296132,-1.14844,4.63899
0,41,-1.67525,-0.00764155,5.6231
0,42,-0.200889,1.32219,5.22978
0,43,-0.0962356,-0.945416,2.81708
0,44,-1.69537,1.87126,7.53071
0,45,0.0598604,-0.162266,1.13283
0,46,-0.670371,-0.188081,3.6427
0,47,-1.06392,0.413809,4.66769
0,48,1.0727,-0.752256,4.5235
0,49,0.116288,-0.102724,0.988736
0,50,1.39607,-0.412894,6.00115
0,51,0.680623,-0.801244,4.53285
0,52,0.526554,0.601202,4.4472
0,53,-0.397947,-0.50292,4.04605
0,54,1.19523,-1.48028,6.71567
0,55,1.90611,1.4066,7.4126
0,56,1.46051,-1.03413,6.18633
0,57,-0.303634,0.382674,3.46795
0,58,0.454799,0.741949,4.43092
0,59,-1.8495,0.922814,5.70214
0,60,0.229621,1.87262,5.892
0,61,-0.583351,1.0155,4.70417
0,62,1.65608,0.813638,6.392
0,63,1.45303,-1.72728,7.60662
0,64,1.75055,-0.460848,6.61865
0,65,-0.327147,1.39871,5.86521
0,66,0.664166,-1.82385,6.55172
0,67,-1.31183,-1.65111,7.25719
0,68,0.0556706,-0.617793,3.29224
0,69,1.10348,-1.09239,4.39973
0,70,1.51463,-0.240714,5.9921
0,71,-1.77239,1.79517,7.48568
0,72,-1.8559,1.44475,7.5265
0,73,1.1926,0.598375,5.36387
0,74,-0.727683,1.81166,6.41718
0,75,-0.720231,-1.90808,6.34414
0,76,-0.224773,1.56691,6.04424
0,77,0.211913,0.961673,3.48874
0,78,0.744158,-0.0301124,3.11329
0,79,-1.48346,-1.84456,7.60341
0,80,1.36104,1.74403,7.37946
0,81,-0.376472,0.311441,3.47378
0,82,1.60801,-0.717873,6.51434
0,83,1.56906,0.519386,6.50016
0,84,-0.632564,-1.50157,6.40111
0,85,-1.04673,1.63963,6.35604
0,86,-1.5689,0.853351,6.3229
0,87,-1.93519,-0.492033,6.67807
0,88,-0.763089,-0.639788,4.58833
0,89,-0.482792,-0.789904,4.48392
0,90,0.447483,-0.44335,4.03294
0,91,-0.0581755,1.6197,5.70781
0,92,1.31805,0.178303,5.1372
0,93,0.905742,0.391664,4.29674
0,94,1.45413,-0.0242395,5.42137
0,95,0.109628,0.36508,2.71119
0,96,-1.47478,-0.120708,5.61723
0,97,-0.341153,0.423651,3.70965
0,98,-0.234852,-1.77451,6.05888
0,99,1.01496,0.98676,3.6392
0,100,0.611499,-0.964879,4.59039
0,101,-0.632483,0.355276,4.14303
0,102,-0.378695,-0.456432,3.89694
0,103,-1.33205,0.3777,5.72931
0,104,0.124394,0.692724,3.41727
0,105,1.06848,-1.845,5.83794
0,106,-0.712848,-0.36022,4.20709
0,107,-0.437576,-0.0905854,2.9831
0,108,1.72836,0.103648,5.67127
0,109,1.06916,1.32305,5.73348
0,110,-0.24932,-0.270287,2.79134
0,111,-1.58171,-1.51065,7.64651
0,112,1.08143,0.0330091,3.03335
0,113,-1.11976,0.544543,5.05654
0,114,0.270918,0.992801,3.88376
0,115,1.40203,-0.794947,6.03048
0,116,-1.71052,-1.8501,7.52658
0,117,-1.1665,-1.54184,6.71021
0,118,1.31743,1.79608,7.18351
0,119,1.93885,-0.840221,5.80532
0,120,1.04136,-1.27528,5.37469
0,121,-1.49395,-1.4568,7.4543
0,122,-1.01418,-1.28204,5.35746
0,123,-1.3909,-1.92612,7.36384
0,124,-0.842233,-1.23134,5.12824
0,125,0.338745,-1.18069,4.95974
0,126,0.243864,-1.02131,3.80491
0,127,-1.69593,1.53205,7.72324
0,128,-1.80635,0.193499,5.83462
0,129,-0.50576,0.408123,4.07545
0,130,-0.735916,-1.2309,5.37387
0,131,0.213046,1.82911,5.87977
0,132,0.81476,0.998138,4.04041
0,133,-0.412831,-1.64074,6.49889
0,134,0.425091,-0.373081,3.80408
0,135,-0.0494905,-0.636538,3.28431
0,136,-1.59306,-0.83092,6.36526
0,137,-1.71011,1.73284,7.70689
0,138,-0.91554,1.7488,6.05655
